2012-10-25 13:09:01 UT=1351170541 &: ID=28b5a3d2020000c6 PS=1 T=4.38   T_MCU=4.1   V_MCU=3.08 UP=17FDD4 RH=61.0 V_IN=13.42 [ADDR=181.198 SEQ=109 RSSI=0 LQI=255 DRP=1.00]
2012-10-25 13:09:11 UT=1351170551 &: ID=284837ce0200007c PS=0 T=21.94  P0_T=0.000   P1=E P1_T=0.000   UP=B7F80 RH=35.7
2012-10-25 13:09:50 UT=1351170590 &: ID=28461fef030000fd PS=1 T=7.38   T_MCU=7.4   V_MCU=3.08 UP=1A3084 RH=72.8 V_IN=4.85  [ADDR=70.253 SEQ=208 RSSI=1 LQI=255 DRP=1.00]
2012-10-25 13:09:52 UT=1351170592 &: ID=28f635ef030000bf PS=0 T=11.75  T1=6.81   P1=0 P1_T=0.000   UP=2C93E5 RH=53.2 [ADDR=246.191 SEQ=66 RSSI=6 LQI=228 DRP=1.00]
2012-10-25 13:10:01 UT=1351170601 &: ID=28b5a3d2020000c6 PS=1 T=4.44   T_MCU=4.1   V_MCU=3.08 UP=17FE10 RH=60.4 V_IN=13.22 [ADDR=181.198 SEQ=110 RSSI=0 LQI=255 DRP=1.00]
2012-10-25 13:10:11 UT=1351170611 &: ID=284837ce0200007c PS=0 T=21.88  P0_T=0.000   P1=E P1_T=0.000   UP=B7FBC RH=35.7
2012-10-25 13:10:50 UT=1351170650 &: ID=28461fef030000fd PS=1 T=7.38   T_MCU=7.4   V_MCU=3.08 UP=1A30C0 RH=72.8 V_IN=5.10  [ADDR=70.253 SEQ=209 RSSI=1 LQI=255 DRP=1.00]
2012-10-25 13:10:52 UT=1351170652 &: ID=28f635ef030000bf PS=0 T=11.81  T1=6.81   P1=0 P1_T=0.000   UP=2C9421 RH=53.6 [ADDR=246.191 SEQ=67 RSSI=5 LQI=188 DRP=1.00]
2012-10-25 13:11:01 UT=1351170661 &: ID=28b5a3d2020000c6 PS=1 T=4.44   T_MCU=4.1   V_MCU=3.08 UP=17FE4C RH=60.9 V_IN=13.39 [ADDR=181.198 SEQ=111 RSSI=0 LQI=255 DRP=1.00]
2012-10-25 13:11:11 UT=1351170671 &: ID=284837ce0200007c PS=0 T=21.88  P0_T=0.000   P1=E P1_T=0.000   UP=B7FF8 RH=35.7
2012-10-25 13:11:50 UT=1351170710 &: ID=28461fef030000fd PS=1 T=7.38   T_MCU=7.4   V_MCU=3.08 UP=1A30FC RH=72.8 V_IN=4.91  [ADDR=70.253 SEQ=210 RSSI=1 LQI=255 DRP=1.00]
2012-10-25 13:11:52 UT=1351170712 &: ID=28f635ef030000bf PS=0 T=11.81  T1=6.81   P1=0 P1_T=0.000   UP=2C945D RH=53.7 [ADDR=246.191 SEQ=68 RSSI=5 LQI=220 DRP=1.00]
2012-10-25 13:12:01 UT=1351170721 &: ID=28b5a3d2020000c6 PS=1 T=4.38   T_MCU=4.1   V_MCU=3.08 UP=17FE88 RH=61.2 V_IN=13.37 [ADDR=181.198 SEQ=112 RSSI=0 LQI=255 DRP=1.00]
2012-10-25 13:12:11 UT=1351170731 &: ID=284837ce0200007c PS=0 T=21.88  P0_T=0.000   P1=E P1_T=0.000   UP=B8034 RH=35.7
2012-10-25 13:12:50 UT=1351170770 &: ID=28461fef030000fd PS=1 T=7.38   T_MCU=7.4   V_MCU=3.08 UP=1A3138 RH=72.8 V_IN=4.89  [ADDR=70.253 SEQ=211 RSSI=1 LQI=255 DRP=1.00]
